dataset IDTW Inf IP ISD LCSS LLR_DLS LLR_LK LNP MAN MIN MPdist NCD NP P PACF PC2 PDC PIC SAX SDTW shapeDTWHOG1D shapeDTWRawSub STS TAM TDCDTW TDHDTW TDSDTW TQ
GesturePebbleZ2 42.4 84.2 58.9 78.5 16.5 70.9 70.9 83.5 25.3 52.5 15.8 63.3 36.1 36.1 84.2 32.9 70.9 83.5 45.6 28.5 43.7 14.6 84.8 29.1 24.7 20.2 26.6 35.4
GunPoint 9.3 14.7 8.7 22.7 26.7 10.0 10.0 20.0 4.7 12.0 4.7 52.0 10.7 10.7 4.7 8.7 36.0 32.7 33.3 8.0 0.7 1.3 8.7 10.0 6.7 9.3 7.3 19.3
GunPointAgeSpan 7.0 13.6 7.9 12.0 17.4 7.6 7.6 12.3 7.6 11.1 3.2 27.5 10.1 10.1 14.2 10.1 34.8 34.2 15.5 10.8 0.9 2.2 8.9 4.7 7.6 5.7 6.3 15.2
GunPointMaleVersusFemale 8.5 4.7 1.3 14.6 13.6 8.9 8.9 15.2 1.9 3.2 2.2 11.4 1.6 1.6 10.1 2.5 33.2 13.0 11.1 3.5 0.9 0.3 4.7 2.5 0.3 0.3 0.3 5.1
GunPointOldVersusYoung 11.1 13.3 5.7 6.7 26.7 7.0 7.0 6.0 2.9 7.9 6.0 30.2 7.3 7.3 17.1 4.8 14.9 37.1 25.7 5.7 1.3 4.8 12.7 11.4 5.4 4.1 4.4 16.5
Ham 41.9 46.7 48.6 51.4 47.6 53.3 53.3 55.2 48.6 44.8 39.0 45.7 40.0 40.0 54.3 40.0 55.2 45.7 39.0 40.0 45.7 45.7 43.8 42.9 43.8 39.0 46.7 33.3
HandOutlines 18.9 13.2 17.6 37.8 47.0 37.3 37.3 42.2 14.1 14.6 19.7 42.4 18.1 18.1 37.6 13.8 39.2 43.2 39.2 14.1 21.4 12.7 16.2 22.4 13.5 13.5 12.2 13.5
Haptics 68.2 61.0 61.7 74.0 69.2 65.9 65.9 73.7 64.0 61.0 63.3 78.2 65.3 65.3 68.8 63.0 73.1 73.4 68.5 61.0 56.2 57.5 68.5 64.0 59.4 59.1 59.1 62.3
Herring 51.6 50.0 46.9 50.0 40.6 46.9 46.9 57.8 40.6 48.4 40.6 50.0 37.5 37.5 40.6 48.4 51.6 42.2 43.8 43.8 50.0 37.5 51.6 53.1 46.9 39.1 46.9 39.1
HouseTwenty 26.9 54.6 21.0 26.1 10.9 21.8 21.8 17.6 15.1 48.7 27.7 35.3 22.7 22.7 21.0 33.6 31.9 42.0 25.2 18.5 3.4 8.4 58.0 5.0 7.6 7.6 10.1 39.5
InlineSkate 72.2 71.3 66.2 18.0 77.8 64.7 64.7 22.7 64.7 67.5 67.1 82.9 69.8 69.8 52.5 65.8 53.8 66.0 78.7 68.5 62.9 58.7 76.5 64.5 61.6 60.0 61.6 75.3
InsectEPGRegularTrain 28.5 45.8 16.1 10.0 30.5 6.0 6.0 15.3 28.5 34.1 5.2 41.4 31.7 31.7 7.2 32.1 21.7 14.9 39.4 26.9 4.4 12.8 49.4 13.3 12.8 11.2 12.8 35.3
InsectEPGSmallTrain 36.5 45.4 16.9 15.3 32.1 13.3 13.3 16.1 29.7 34.9 5.2 35.7 29.7 29.7 11.2 33.7 30.5 20.9 36.9 38.5 8.0 27.3 51.8 27.3 26.5 26.5 26.5 43.0
InsectWingbeatSound 56.5 46.1 55.9 83.9 42.3 80.2 80.2 79.5 43.1 43.6 49.6 89.2 47.6 47.6 73.9 43.8 86.4 84.7 47.7 54.5 58.4 53.3 49.0 63.1 52.9 59.2 50.5 44.7
ItalyPowerDemand 9.1 5.2 15.9 26.2 20.8 19.0 19.0 25.0 3.8 4.7 3.7 45.5 13.0 13.0 10.9 4.5 34.9 39.1 37.4 5.2 10.3 3.7 2.7 10.1 5.0 5.0 5.0 21.8
LargeKitchenAppliances 42.4 61.9 33.6 43.7 41.1 43.7 43.7 43.7 44.3 56.3 35.7 65.9 26.1 26.1 50.7 50.7 45.9 60.0 60.8 38.9 16.0 18.4 60.0 57.9 20.5 19.7 20.5 57.6
Lightning2 24.6 31.1 24.6 31.1 18.0 37.7 37.7 44.3 18.0 34.4 23.0 37.7 27.9 27.9 36.1 24.6 49.2 47.5 27.9 16.4 11.5 13.1 49.2 26.2 8.2 8.2 9.8 39.3
Lightning7 39.7 54.8 67.1 61.6 42.5 53.4 53.4 63.0 28.8 53.4 34.2 67.1 41.1 41.1 63.0 42.5 79.5 78.1 57.5 27.4 23.3 17.8 68.5 49.3 27.4 27.4 23.3 47.9
Mallat 16.1 12.1 15.2 31.4 45.9 15.9 15.9 25.9 7.5 9.1 11.2 87.2 13.3 13.3 28.7 8.6 40.7 38.7 55.4 8.0 6.2 6.4 14.8 11.7 4.9 6.6 4.7 30.7
Meat 10.0 10.0 5.0 58.3 66.7 53.3 53.3 51.7 6.7 6.7 13.3 60.0 5.0 5.0 28.3 6.7 53.3 31.7 70.0 6.7 10.0 6.7 28.3 11.7 6.7 6.7 6.7 18.3
MedicalImages 36.8 33.4 43.9 39.7 33.4 45.1 45.1 39.7 29.3 32.5 32.6 65.3 43.7 43.7 38.8 31.6 56.7 46.2 53.4 30.8 26.4 25.4 38.9 29.1 25.3 25.3 25.3 48.9
MelbournePedestrian 22.0 19.0 32.2 40.7 76.9 33.7 33.7 36.0 15.1 16.4 15.2 72.4 26.9 26.9 26.3 15.3 79.5 63.1 85.4 17.6 20.9 20.9 18.5 28.8 16.0 19.0 15.7 51.8
MiddlePhalanxOutlineAgeGroup 51.3 41.6 55.2 51.3 42.9 53.2 53.2 46.1 48.1 48.1 25.2 61.0 55.2 55.2 51.3 48.1 59.7 53.2 67.5 51.3 44.8 49.4 46.8 55.8 48.7 50.6 47.4 46.8
MiddlePhalanxOutlineCorrect 29.6 26.8 33.0 39.2 43.0 38.8 38.8 38.8 24.7 25.1 30.2 45.4 30.6 30.6 32.0 23.4 45.4 41.2 48.8 23.0 28.5 23.7 21.6 26.8 25.8 25.8 23.4 44.3
MiddlePhalanxTW 50.0 51.9 53.9 60.4 72.7 57.1 57.1 55.8 44.8 51.3 42.1 80.5 50.0 50.0 50.6 48.7 53.2 59.1 74.0 48.7 48.7 47.4 51.3 51.9 47.4 50.6 48.0 53.9
MixedShapesRegularTrain 23.5 13.8 17.6 17.0 17.5 30.6 30.6 27.8 10.8 10.6 8.6 75.4 27.7 27.7 30.8 10.3 39.5 35.7 19.2 16.4 4.8 12.9 29.9 19.2 11.1 11.7 12.7 19.3
MixedShapesSmallTrain 32.8 20.3 26.6 22.9 17.9 36.8 36.8 30.4 16.9 16.9 13.4 76.1 30.6 30.6 39.1 16.5 45.0 43.1 23.3 27.1 8.6 20.0 39.4 23.4 19.6 18.0 19.0 22.2
MoteStrain 25.2 26.4 45.3 43.3 13.5 43.1 43.1 44.0 13.4 18.4 18.3 41.7 42.1 42.1 42.6 12.1 17.5 46.2 28.5 23.2 11.0 10.1 28.4 11.6 16.5 15.7 16.1 17.2
NonInvasiveFetalECGThorax1 43.7 19.4 24.1 39.3 85.8 40.0 40.0 62.3 19.1 16.9 17.9 95.2 34.8 34.8 30.6 17.1 90.1 60.1 90.5 16.8 21.9 22.3 45.5 27.1 15.5 17.2 16.3 42.0
NonInvasiveFetalECGThorax2 36.3 13.5 18.4 39.7 74.7 49.3 49.3 65.0 12.5 12.2 12.5 96.0 27.8 27.8 21.5 12.0 86.9 57.0 86.6 12.1 14.0 11.0 21.8 23.1 11.6 12.6 12.0 36.0
